pID	|	s(R)	Img	s(Q)	|	s(Qnq)	coff	|	PCA	BF	BFi	Img	std
2120020-0	|	66	65	357	|	267	9.345	|	0.247	2.31	2.275	65	0.185
2120020-1	|	51	50	248	|	176	9.345	|	0.29	2.708	2.655	50	0.206
2120020-2	|	48	48	294	|	222	9.345	|	0.216	2.021	2.021	48	0.163
2120020-3	|	22	22	164	|	129	9.345	|	0.171	1.594	1.594	22	0.134
2120020-4	|	32	32	240	|	181	9.345	|	0.177	1.652	1.652	32	0.133
2120020-5	|	19	19	152	|	118	9.345	|	0.161	1.505	1.505	19	0.125
2120020-6	|	50	50	310	|	236	9.345	|	0.212	1.98	1.980	50	0.161
2120020-7	|	37	37	181	|	134	9.345	|	0.276	2.58	2.580	37	0.204
2120020-8	|	52	52	263	|	187	9.345	|	0.278	2.599	2.599	52	0.198
2120020-9	|	20	20	126	|	94	9.345	|	0.213	1.988	1.988	20	0.159
2120020-10	|	49	49	310	|	240	9.345	|	0.204	1.908	1.908	49	0.158
2120020-11	|	41	41	212	|	153	9.345	|	0.268	2.504	2.504	41	0.193
2120020-12	|	52	52	258	|	188	9.345	|	0.277	2.585	2.585	52	0.202
2120020-13	|	37	37	145	|	99	9.345	|	0.374	3.493	3.493	37	0.255
2120020-14	|	56	56	308	|	229	9.345	|	0.245	2.285	2.285	56	0.182
2120020-15	|	29	28	154	|	114	9.345	|	0.254	2.377	2.295	28	0.188
2120020-16	|	50	50	272	|	199	9.345	|	0.251	2.348	2.348	50	0.184
2120020-17	|	23	23	130	|	98	9.345	|	0.235	2.193	2.193	23	0.177
2120020-18	|	102	101	595	|	443	9.345	|	0.23	2.152	2.131	101	0.171
2120020-19	|	170	169	910	|	640	9.345	|	0.266	2.482	2.468	169	0.187
2120020-20	|	107	107	577	|	423	9.345	|	0.253	2.364	2.364	107	0.185
2120020-21	|	134	134	719	|	514	9.345	|	0.261	2.436	2.436	134	0.186
2120020-22	|	97	97	555	|	412	9.345	|	0.235	2.2	2.200	97	0.175
2120020-23	|	136	136	782	|	568	9.345	|	0.239	2.238	2.238	136	0.174
2120020-24	|	100	100	582	|	429	9.345	|	0.233	2.178	2.178	100	0.172
2120020-25	|	130	130	747	|	546	9.345	|	0.238	2.225	2.225	130	0.174
2120020-26	|	55	55	335	|	256	9.345	|	0.215	2.008	2.008	55	0.164
2120020-27	|	70	70	342	|	232	9.345	|	0.302	2.82	2.820	70	0.205
2120020-28	|	94	93	458	|	336	9.345	|	0.28	2.614	2.587	93	0.205
2120020-29	|	42	42	232	|	172	9.345	|	0.244	2.282	2.282	42	0.181
2120020-30	|	91	90	446	|	326	9.345	|	0.279	2.609	2.580	90	0.204
2120020-31	|	22	22	190	|	154	9.345	|	0.143	1.335	1.335	22	0.116
2120020-32	|	46	46	263	|	201	9.345	|	0.229	2.139	2.139	46	0.175
2120020-33	|	13	13	133	|	115	9.345	|	0.113	1.056	1.056	13	0.098
2120020-34	|	102	102	494	|	361	9.345	|	0.283	2.64	2.640	102	0.206
2120020-35	|	50	50	239	|	176	9.345	|	0.284	2.655	2.655	50	0.209
2120020-36	|	78	78	386	|	283	9.345	|	0.276	2.576	2.576	78	0.202
2120020-37	|	22	22	149	|	115	9.345	|	0.191	1.788	1.788	22	0.148
2120020-38	|	136	136	596	|	431	9.345	|	0.316	2.949	2.949	136	0.228
2120020-39	|	78	78	352	|	256	9.345	|	0.305	2.847	2.847	78	0.222
2120020-40	|	118	117	460	|	319	9.345	|	0.37	3.457	3.427	117	0.257
2120020-41	|	64	64	238	|	163	9.345	|	0.393	3.669	3.669	64	0.269
2120020-42	|	94	94	409	|	290	9.345	|	0.324	3.029	3.029	94	0.23
2120020-43	|	43	43	206	|	149	9.345	|	0.289	2.697	2.697	43	0.209
2120020-44	|	83	83	390	|	277	9.345	|	0.3	2.8	2.800	83	0.213
2120020-45	|	35	34	166	|	121	9.345	|	0.289	2.703	2.626	34	0.211
2120020-46	|	249	249	1091	|	773	9.345	|	0.322	3.01	3.010	249	0.228
2120020-47	|	320	320	905	|	664	9.345	|	0.482	4.504	4.504	320	0.354
2120020-48	|	208	208	877	|	620	9.345	|	0.335	3.135	3.135	208	0.237
2120020-49	|	196	196	884	|	632	9.345	|	0.31	2.898	2.898	196	0.222
2120020-50	|	203	203	932	|	668	9.345	|	0.304	2.84	2.840	203	0.218
2120020-51	|	202	202	1038	|	772	9.345	|	0.262	2.445	2.445	202	0.195
2120020-52	|	232	232	959	|	668	9.345	|	0.347	3.246	3.246	232	0.242
2120020-53	|	238	238	1137	|	830	9.345	|	0.287	2.68	2.680	238	0.209
2120020-54	|	214	214	811	|	550	9.345	|	0.389	3.636	3.636	214	0.264
2120020-55	|	188	188	717	|	482	9.345	|	0.39	3.645	3.645	188	0.262
2120020-56	|	55	55	282	|	213	9.345	|	0.258	2.413	2.413	55	0.195
2120020-57	|	34	34	192	|	141	9.345	|	0.241	2.253	2.253	34	0.177
2120020-58	|	48	47	282	|	218	9.345	|	0.22	2.058	2.015	47	0.17
2120020-59	|	46	45	233	|	172	9.345	|	0.267	2.499	2.445	45	0.197
2120020-60	|	22	22	222	|	192	9.345	|	0.115	1.071	1.071	22	0.099
2120020-61	|	17	17	149	|	128	9.345	|	0.133	1.241	1.241	17	0.114
2120020-62	|	47	47	275	|	214	9.345	|	0.22	2.052	2.052	47	0.171
2120020-63	|	29	29	167	|	128	9.345	|	0.227	2.117	2.117	29	0.174
2120020-64	|	36	36	233	|	180	9.345	|	0.2	1.869	1.869	36	0.155
2120020-65	|	27	27	133	|	97	9.345	|	0.278	2.601	2.601	27	0.203
2120020-66	|	43	43	230	|	171	9.345	|	0.251	2.35	2.350	43	0.187
2120020-67	|	47	47	203	|	142	9.345	|	0.331	3.093	3.093	47	0.232
2120020-68	|	44	44	232	|	173	9.345	|	0.254	2.377	2.377	44	0.19
2120020-69	|	34	34	136	|	91	9.345	|	0.374	3.492	3.492	34	0.25
2120020-70	|	41	41	224	|	169	9.345	|	0.243	2.267	2.267	41	0.183
2120020-71	|	27	27	122	|	88	9.345	|	0.307	2.867	2.867	27	0.221
2120020-72	|	38	38	237	|	187	9.345	|	0.203	1.899	1.899	38	0.16
2120020-73	|	22	22	148	|	115	9.345	|	0.191	1.788	1.788	22	0.149
2120020-74	|	81	80	455	|	347	9.345	|	0.233	2.181	2.154	80	0.178
2120020-75	|	179	178	803	|	573	9.345	|	0.312	2.919	2.903	178	0.223
2120020-76	|	77	77	444	|	341	9.345	|	0.226	2.11	2.110	77	0.173
2120020-77	|	137	137	648	|	476	9.345	|	0.288	2.69	2.690	137	0.211
2120020-78	|	87	87	487	|	368	9.345	|	0.236	2.209	2.209	87	0.179
2120020-79	|	133	133	730	|	545	9.345	|	0.244	2.281	2.281	133	0.182
2120020-80	|	78	78	448	|	345	9.345	|	0.226	2.113	2.113	78	0.174
2120020-81	|	142	142	719	|	528	9.345	|	0.269	2.513	2.513	142	0.197
2120020-82	|	61	61	282	|	209	9.345	|	0.292	2.727	2.727	61	0.216
2120020-83	|	82	82	341	|	239	9.345	|	0.343	3.206	3.206	82	0.24
2120020-84	|	11	11	302	|	267	9.345	|	0.041	0.385	0.385	11	0.036
2120020-85	|	8	8	139	|	122	9.345	|	0.066	0.613	0.613	8	0.058
2120020-86	|	12	12	306	|	264	9.345	|	0.045	0.425	0.425	12	0.039
