pID	|	s(R)	Img	s(Q)	|	s(Qnq)	coff	|	PCA	BF	BFi	Img	std
2120020-0	|	46	46	288	|	209	9.793	|	0.22	2.155	2.155	46	0.16
2120020-1	|	29	29	180	|	128	9.793	|	0.227	2.219	2.219	29	0.161
2120020-2	|	40	40	262	|	201	9.793	|	0.199	1.949	1.949	40	0.153
2120020-3	|	29	29	145	|	106	9.793	|	0.274	2.679	2.679	29	0.2
2120020-4	|	45	45	266	|	193	9.793	|	0.233	2.283	2.283	45	0.169
2120020-5	|	18	18	135	|	104	9.793	|	0.173	1.695	1.695	18	0.133
2120020-6	|	53	53	293	|	215	9.793	|	0.247	2.414	2.414	53	0.181
2120020-7	|	37	37	185	|	137	9.793	|	0.27	2.645	2.645	37	0.2
2120020-8	|	43	43	284	|	218	9.793	|	0.197	1.932	1.932	43	0.151
2120020-9	|	23	23	147	|	111	9.793	|	0.207	2.029	2.029	23	0.156
2120020-10	|	47	47	228	|	164	9.793	|	0.287	2.806	2.806	47	0.206
2120020-11	|	27	27	130	|	97	9.793	|	0.278	2.726	2.726	27	0.208
2120020-12	|	38	38	225	|	169	9.793	|	0.225	2.202	2.202	38	0.169
2120020-13	|	20	20	140	|	102	9.793	|	0.196	1.92	1.920	20	0.143
2120020-14	|	40	40	268	|	202	9.793	|	0.198	1.939	1.939	40	0.149
2120020-15	|	16	16	138	|	108	9.793	|	0.148	1.451	1.451	16	0.116
2120020-16	|	40	40	257	|	194	9.793	|	0.206	2.019	2.019	40	0.156
2120020-17	|	22	22	137	|	103	9.793	|	0.214	2.092	2.092	22	0.161
2120020-18	|	96	96	498	|	354	9.793	|	0.271	2.656	2.656	96	0.193
2120020-19	|	120	120	677	|	485	9.793	|	0.247	2.423	2.423	120	0.177
2120020-20	|	105	105	561	|	409	9.793	|	0.257	2.514	2.514	105	0.187
2120020-21	|	131	131	784	|	574	9.793	|	0.228	2.235	2.235	131	0.167
2120020-22	|	101	101	566	|	412	9.793	|	0.245	2.401	2.401	101	0.178
2120020-23	|	127	127	756	|	559	9.793	|	0.227	2.225	2.225	127	0.168
2120020-24	|	100	100	545	|	397	9.793	|	0.252	2.467	2.467	100	0.183
2120020-25	|	141	141	742	|	534	9.793	|	0.264	2.586	2.586	141	0.19
2120020-26	|	69	69	340	|	230	9.793	|	0.3	2.938	2.938	69	0.203
2120020-27	|	88	88	411	|	266	9.793	|	0.331	3.24	3.240	88	0.214
2120020-28	|	72	72	354	|	259	9.793	|	0.278	2.722	2.722	72	0.203
2120020-29	|	30	30	190	|	151	9.793	|	0.199	1.946	1.946	30	0.158
2120020-30	|	68	67	314	|	227	9.793	|	0.3	2.934	2.890	67	0.217
2120020-31	|	34	34	156	|	116	9.793	|	0.293	2.87	2.870	34	0.218
2120020-32	|	39	39	248	|	193	9.793	|	0.202	1.979	1.979	39	0.157
2120020-33	|	17	17	139	|	115	9.793	|	0.148	1.448	1.448	17	0.122
2120020-34	|	86	86	396	|	285	9.793	|	0.302	2.955	2.955	86	0.217
2120020-35	|	47	47	213	|	159	9.793	|	0.296	2.895	2.895	47	0.221
2120020-36	|	64	64	321	|	236	9.793	|	0.271	2.656	2.656	64	0.199
2120020-37	|	22	22	146	|	120	9.793	|	0.183	1.795	1.795	22	0.151
2120020-38	|	90	89	385	|	278	9.793	|	0.324	3.17	3.135	89	0.234
2120020-39	|	58	58	226	|	158	9.793	|	0.367	3.595	3.595	58	0.257
2120020-40	|	89	89	369	|	260	9.793	|	0.342	3.352	3.352	89	0.241
