2370005-335	|	755	755	596	|	403	3.254	|	1.873	6.097	6.097	755	1.267
2370005-333	|	1004	1004	839	|	573	3.254	|	1.752	5.702	5.702	1004	1.197
2370005-329	|	1061	1061	1035	|	687	3.254	|	1.544	5.026	5.026	1061	1.025
2370005-331	|	1021	1021	1106	|	759	3.254	|	1.345	4.378	4.378	1021	0.923
2400004-301	|	888	886	1069	|	810	4.427	|	1.096	4.853	4.842	886	0.831
2400004-335	|	435	434	596	|	280	4.427	|	1.554	6.878	6.862	434	0.73
2400004-305	|	880	878	1227	|	912	4.427	|	0.965	4.272	4.262	878	0.717
2120020-387	|	633	633	950	|	753	9.793	|	0.841	8.232	8.232	633	0.666
2400004-333	|	553	552	839	|	365	4.427	|	1.515	6.707	6.695	552	0.659
2120020-385	|	692	692	1089	|	869	9.793	|	0.796	7.798	7.798	692	0.635
