2340011-11	8.452
2120020-387	8.232
2120020-385	7.798
2340011-10	7.782
2340011-7	7.609
2120020-139	7.311
2340011-13	7.274
2120020-335	7.103
2340011-19	7.098
2400004-335	6.878
2120020-391	6.782
2400004-333	6.707
2340011-18	6.429
2120020-122	6.401
2120020-123	6.355
2120020-138	6.346
2120020-333	6.327
2120020-329	6.123
2370005-335	6.097
2340011-25	6.069
2120020-137	6.065
2340011-27	6.057
2340011-26	5.931
2120020-301	5.91
2120020-115	5.903
2340011-8	5.878
2120020-131	5.837
2340011-23	5.797
2340011-24	5.784
2340011-0	5.761
