2370005-330	1414
2370005-328	1414
2370005-332	1390
2400004-304	1206
2370005-334	1182
2400004-300	1167
2400004-302	1138
2370005-329	1061
2370005-331	1021
2370005-333	1004
2400004-306	985
2400004-301	886
2400004-305	878
2120020-384	848
2120020-386	813
2400004-303	812
2120020-388	770
2400004-328	757
2370005-335	755
2120020-304	736
2400004-332	732
2120020-390	723
2370005-300	713
2370005-310	711
2120020-300	711
2400004-330	710
2370005-384	705
2370005-322	694
2120020-385	692
2370005-386	686
2370005-304	685
2370005-388	671
2370005-302	661
2120020-302	659
2370005-358	654
2120020-306	653
2120020-387	633
2370005-324	632
2370005-360	628
2120020-328	627
2400004-334	622
2400004-307	622
2370005-356	621
2370005-316	618
2400004-329	614
2370005-320	608
2120020-332	608
2370005-308	600
2400004-292	598
2370005-306	595
2400004-282	589
2120020-330	587
2370005-326	583
2370005-390	581
2400004-294	580
2370005-318	579
2400004-384	573
2370005-385	566
2370005-312	563
2120020-389	561
