2370005-335	1.873
2370005-333	1.752
2400004-335	1.554
2370005-329	1.544
2370005-387	1.521
2400004-333	1.515
2370005-385	1.428
2370005-359	1.409
2370005-331	1.345
2370005-301	1.33
2400004-329	1.287
2370005-391	1.164
2400004-331	1.137
2370005-415	1.121
2400004-301	1.096
2370005-305	1.07
2400004-359	1.043
2370005-361	0.967
2400004-305	0.965
2370005-117	0.956
2370005-389	0.94
2370005-113	0.925
2370005-357	0.91
2370005-119	0.891
2400004-357	0.876
2400004-387	0.871
2370005-303	0.857
2400004-361	0.855
2370005-239	0.851
2370005-118	0.846
